entstanden;Verfasser;GNDVerfasser;Einheitstitel;Alternativtitel;Druckdatum;Druckort;Drucker1;GNDDrucker1;Drucker2;GNDDrucker2;Drucker3;GNDDrucker3;Drucker4;GNDDrucker4;Umfang;Format;Sprache;Anmerkung;USTCSubject;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;IDa;Landa;Stadta;Insitutiona;Signatura;erstellta;geänderta;IDb;Landb;Stadtb;Insitutionb;Signaturb;erstelltb;geändertb;Idc;Landc;Stadtc;Insitutionc;Signaturc;erstelltc;geändertc;IDd;Landd;Stadtd;Insitutiond;Signaturd;erstelltd;geändertd;IDe;Lande;Stadte;Insitutione;Signature;erstellte;geänderte;RIDf;Landf;Stadtf;Insitutionf;Signaturf;erstelltf;geändertf
N/A;N/A;N/A;Wie zu Plonig ein Christ eines Juden Tochter schwanger machte [Lied];N/A;[1] 1500-00-00, um [2] 1512-00-00--1515-00-00 (USTC);Strassburg;Matthias Hupfuff;13352583X;N/A;N/A;N/A;N/A;N/A;N/A;ff. [4];8°;Deutsch;Holzschnitt, Exemplar der UB Erlangen-Nürnberg (signatur möglicherweise: Inc. 1446a) verloren?;Literature;M2269750;ip00913500;N/A;N/A;V 2488;748215;N/A;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=2768726;Deutschland;Erlangen-Nürnberg;Universitätsbibliothek (UB);H62/CIM.M 11[29;N/A;2019-04-24;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1492-10-24 (nach Hostienfrevel in Sternberg);N/A;N/A;Geschichte der Juden zu Sternberg mit dem Sakrament;N/A;[1] 1492-00-00--1493-00-00, um (ISTC) [2] 1492-10-24, nicht vor (GW);Bamberg;Heinrich Petzensteiner;102952372X;Johann Pfeyl;13644881X;N/A;N/A;N/A;N/A;ff. 4;4°;Deutsch;betrifft Hostienfrevel in Sternberg 1492;History and Chronicles;M44004;is00790100;N/A;N/A;N/A;749225;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1492-10-24 (nach Hostienfrevel in Sternberg);N/A;N/A;Geschichte der Juden zu Sternberg mit dem Sakrament;N/A;[1] 1492-00-00--1493-00-00, um (ISTC) [2] 1492-10-24, nicht vor (GW);Magdeburg;Simon Koch (Mentzer);136109640;N/A;N/A;N/A;N/A;N/A;N/A;ff. 6;4°;Deutsch;betrifft Hostienfrevel in Sternberg 1492;History and Chronicles;M44007;is00790150;N/A;N/A;N/A;749226;N/A;http://resolver.staatsbibliothek-berlin.de/SBB00004E0500000000;Deutschland;Berlin;Staatsbibliothek Preußischer Kulturbesitz;8° Inc 1494.10;2020-06-02;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1492-10-24 (nach Hostienfrevel in Sternberg);N/A;N/A;Geschichte der Juden zu Sternberg mit dem Sakrament;N/A;[1] 1492-00-00--1493-00-00, um (ISTC) [2] 1492-10-24, nicht vor (GW) [3] 1494-00-00, um?;Basel;Jacobus Wolff de Pforzheim;1012373568;N/A;N/A;N/A;N/A;N/A;N/A;ff. 4;4°;Deutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt. zu den Druckern: GW-Ms;History and Chronicles;M44005;is00790200;N/A;N/A;N/A;749227;N/A;urn:nbn:de:hebis:30:2-50487;Deutschland;Frankfurt am Main;Universitätsbibliothek (UB);Inc. oct. 298;2013-00-00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1492-10-24 (nach Hostienfrevel in Sternberg);N/A;N/A;Geschichte der Juden zu Sternberg mit dem Sakrament;N/A;[1] 1492-00-00--1493-00-00, um (ISTC) [2] 1492-10-24, nicht vor (GW);Köln;Ludwig von Renchen?;119097958;N/A;N/A;N/A;N/A;N/A;N/A;ff. 4;4°;Niederdeutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt. zu den Druckern: GW-Ms;History and Chronicles;[1] M44006. [2] GW(Nachtr) 338;is00790220;N/A;N/A;N/A;749228;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1492-10-24 (nach Hostienfrevel in Sternberg);N/A;N/A;Geschichte der Juden zu Sternberg mit dem Sakrament;N/A;[1] 1492-00-00, um (ISTC) [2] 1492-10-24, nicht vor (GW);Magdeburg;Simon Koch (Mentzer);136109640;N/A;N/A;N/A;N/A;N/A;N/A;ff. [1];Einblattdruck;Niederdeutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt. Einblattdruck;History and Chronicles;M44011;is00790230;N/A;N/A;N/A;749229;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1492-10-24 (nach Hostienfrevel in Sternberg);N/A;N/A;Geschichte der Juden zu Sternberg mit dem Sakrament;Van der mysehandelinge des hilligen Sacramentes;[1] 1492-00-00--1493-00-00, um (ISTC) [2] 1492-10-24, nicht vor (GW);Magdeburg;Simon Koch (Mentzer);136109640;N/A;N/A;N/A;N/A;N/A;N/A;ff. 6;4°;Niederdeutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt;History and Chronicles;M44009;is00790250;N/A;N/A;N/A;749230;N/A;http://resolver.staatsbibliothek-berlin.de/SBB0000483600000000;Deutschland;Berlin;Staatsbibliothek Preußischer Kulturbesitz;8° Inc 1496.2;2020-06-02;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1492-10-24 (nach Hostienfrevel in Sternberg);N/A;N/A;Geschichte der Juden zu Sternberg mit dem Sakrament;(S)terneberch. Ua den bosen ioden volget hyr eyn gheschicht;[1] 1492-00-00--1493-00-00, um (ISTC) [2] 1492-10-24, nicht vor (GW);Lübeck;Matthaeus Brandis;135556686;N/A;N/A;N/A;N/A;N/A;N/A;ff. 4;4°;Niederdeutsch;betrifft Hostienfrevel in Sternberg 1492. Holzschnitt;History and Chronicles;M44008;is00790260;N/A;N/A;N/A;749231;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Thomas Murner;118585886;Huqah ha-pesah. Ritus et celebratio Phase Tudeorum cum orationibus eorum et benedictionibus mense ad litteram interpretatis (etc.) Per Thomam Munner ex Hebreo in Lateinum traducta.;ritus et celebratio phase judeorum cum crationibus eorum et Benedictionibus mense ad litteram interpretatis cum omi observatione uti soliti sut suu pasca extra terram promissionis sine esu agni pascalis celebrare per egregiu doctorem. Thomam murner ex hebreo in Lateinu traducta eloquium;1512-00-00;Frankfurt am Main;Beatus Murner;102843422;N/A;N/A;N/A;N/A;N/A;N/A;ff. [16];4°;[1] Latein [2] Hebräisch;Bedeutender Kontroverstheologe der frühen Reformationszeit. 1505 Poeta laureatus;N/A;N/A;N/A;N/A;N/A;H 188;661374;N/A;urn:nbn:de:bvb:12-bsb00004330-6;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/4 Jud. 30,8;2006-11-29;2021-09-23;http://data.onb.ac.at/rec/AC10252136;Österreich;Wien;Nationalbibliothek (NB);73.S.42.(2) ALT PRUNK;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Thomas Murner;118585886;Enderung und schmach der bildung Marie von den Juden bewissen. vnd zu ewiger gedechtnüss durch Maximilianum den römischen keyser zu malen verschaffet in der löblichen stat kolmer, von dannen sy ouch ewig vertriben syndt;N/A;[1] 1515-00-00 / [2] 1511-00-00;Strassburg;Matthias Hupfuff;13352583X;N/A;N/A;N/A;N/A;N/A;N/A;ff. [33];4°;Deutsch;https://ixtheo.de/Record/1096886936;Religious;N/A;N/A;N/A;N/A;A 350;650565;N/A;urn:nbn:de:bvb:12-bsb00011433-7;Deutschland;München;Bayerische Staatsbibliothek (BSB);Rar. 855#Beibd.1;2007-10-30;2021-09-23;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Victor von Carben;119858703;De vita et moribus Judaeorum;Opus aureum ao novum et a doctis viris diu expectatum domini victoris de carben olim judei sm modo Christiani et sacerdois in quo os judeorum errores manifestantur qui hacteus nobis ignoti fuere;1509-00-00;Köln;Heinrich von Neuss;136407978;N/A;N/A;N/A;N/A;N/A;N/A;ff. [76];4°;Latein;Lagenformel: A - B6 C4 D6 E4 F6 G4 H6 I4 K6 L4 M6 N4 O6 P4. Bbirtish Library: General Reference Collection DRT Digital Store 4033.c.37.. UIN: BLL01017757713. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01017757713&vid=BLVU1&lang=en_US&institution=BL;N/A;N/A;N/A;N/A;N/A;V 969;679599;Schreckenberg III (1994) 592-595;urn:nbn:de:bvb:12-bsb10906610-8;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/4 P.lat. 1101#Beibd.7;2007-07-11;2021-09-24;urn:nbn:de:bvb:12-bsb00005469-4;Deutschland;München;Bayerische Staatsbibliothek (BSB);Rar. 1589#Beibd.13;2007-01-22;2021-09-23;urn:nbn:de:hebis:30:2-335683;Deutschland;Frankfurt am Main;Universitätsbibliothek (UB);Inc. oct. 462;2013-00-00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Victor von Carben;119858703;Dem durchleuchtigsten hochgebornen Fursten und Herren Ludwign Phaltzgraven bey Rein Hertzogen in obren und Nidern Bayrn. Welicher eyn raby der juden gewest ist. Zu cristlichem glawbn komen weiter vindet man dar in. Eyn costliche disputatz eynes gelerten cristen und eyns gelerten juden. Darinne alle irthumb der Juden durch yr aygen schrifft aufgelost werden.;N/A;1510-00-00;Köln;Heinrich Quentel (Erben);102359229;N/A;N/A;N/A;N/A;N/A;N/A;ff. [103];4°;Deutsch;1. Auflage? Auch 1550 (= VD16 V 974 und U 186) British Library: General Reference Collection DRT Digital Store 1412.e.19.. UIN: BLL01017672983. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01017672983&vid=BLVU1&lang=en_US&institution=BL .;Religious;N/A;N/A;N/A;N/A;ZV 15202;632323;Schreckenberg III (1994) 592-595;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Victor von Carben;119858703;Eyn schoin vnd suberlich tractat von der edele reyne vnd vnbefleckte junckfrouschaff Marie, etc.;N/A;1510-00-00;Köln;Johannes Landen;118884719;N/A;N/A;N/A;N/A;N/A;N/A;ff. [26];4°;Deutsch;2. Auflage? Auch 1550 (= VD16 V 974 und U 186) . British Library: General Reference Collection DRT Digital Store 4808.c.13. UIN: BLL01018204058. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01018204058&vid=BLVU1&lang=en_US&institution=BL;Religious;N/A;N/A;N/A;N/A;V 971;656358;Schreckenberg III (1994) 592-595;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16. Jh.;Victor von Carben;119858703;Ain schön und seüberlich Tractat vo[n] der edlen rainen und unbeflecten junckfrauschaft Marie, etc.;N/A;1511-00-00;Augsburg;Georg Diemar (Erben);1100695850 (Georg Diemar);Johann Otmar;115858679;N/A;N/A;N/A;N/A;ff. [23];4°;Deutsch;3. Auflage? Auch 1550 (= VD16 V 974 und U 186). Bogenkollation: AB8, C7. British Library: General Reference Collection DRT Digital Store T.741.(11.). UIN: BLL01019797425. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01019797425&vid=BLVU1&lang=en_US&institution=BL;Religious;N/A;N/A;N/A;N/A;V 972;610553;Schreckenberg III (1994) 592-595;urn:nbn:de:bvb:12-bsb11071743-6;Deutschland;Regensburg;Staatliche Bibliothek;999/4Theol.syst.727(4;2013-05-08;2021-08-31;urn:nbn:de:bvb:12-bsb00003884-4;Deutschland;München;Bayerische Staatsbibliothek (BSB);Res/4 Hom. 1789 Beibd.1;2006-11-29;2021-09-23;urn:nbn:de:bvb:12-bsb10991838-1;Deutschland;München;Bayerische Staatsbibliothek (BSB);4 Polem. 529 y;2013-05-08;2021-08-19;http://data.onb.ac.at/rep/1065E6EA;Österreich;Wien;Österreichische Nationalbibliothek;[1] MF 3793 NEU MIK. [2] 31.W.62 ALT PRUNK;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
